Trtsize,Nsites,Detprob,Nplots,logitTrt,aInt.m,aInt.se,aInt.sd,aInt.cover,bTrtYr.m,bTrtYr.se,bTrtYr.sd,bTrtYr.cover,bTrtYr.power,n,aInt.m.se,bTrtYr.m.se
0.3,50,0.3,7,-1.694595721,1.10441506,0.459110755,0.508229342,0.955734406,-1.775545803,0.578786095,0.644810204,0.975855131,0.867203219,497,0.020593932,0.025962105
0.3,50,0.3,9,-1.694595721,1.036535856,0.417297912,0.437673795,0.93987976,-1.78274503,0.526542442,0.555063651,0.955911824,0.93987976,499,0.01868082,0.023571277
0.3,50,0.5,5,-1.694595721,0.95689925,0.367012709,0.371993835,0.95,-1.753704782,0.498273905,0.523074417,0.954,0.946,500,0.016413307,0.022283486
0.3,50,0.5,7,-1.694595721,0.918185384,0.294480482,0.324367817,0.966,-1.710132224,0.434308393,0.435684667,0.948,0.978,500,0.013169568,0.019422862
0.3,50,0.5,9,-1.694595721,0.886517881,0.29543742,0.300785456,0.948,-1.715499998,0.370116903,0.383110168,0.958,1,500,0.013212363,0.016552131
0.3,60,0.15,5,-1.694595721,1.592869966,0.720471767,0.930395772,0.937142857,-1.833658525,0.752094399,1.053648834,0.982857143,0.457142857,350,0.038510836,0.040201137
0.3,60,0.15,7,-1.694595721,1.464715116,0.753019051,0.813488481,0.9,-1.919598233,0.678479499,0.94326858,0.973529412,0.658823529,340,0.040838192,0.036795717
0.3,60,0.15,9,-1.694595721,1.385375285,0.661925043,0.74369145,0.917127072,-1.877679148,0.690565041,0.83766033,0.975138122,0.745856354,362,0.034790008,0.036295293
0.3,60,0.3,5,-1.694595721,1.163217923,0.517468891,0.554175499,0.936863544,-1.7636561,0.587976055,0.702999593,0.977596741,0.790224033,491,0.023353044,0.026534988
0.3,60,0.3,7,-1.694595721,1.020944249,0.415514659,0.440282554,0.955823293,-1.761451071,0.546958639,0.57201457,0.951807229,0.921686747,498,0.018619657,0.024509803
0.3,60,0.3,9,-1.694595721,1.019526717,0.386880711,0.395997142,0.935871743,-1.732521944,0.46937924,0.502827812,0.955911824,0.947895792,499,0.017319159,0.021012301
0.3,60,0.5,5,-1.694595721,0.927378297,0.309953485,0.332744953,0.956,-1.71702224,0.458050387,0.474205838,0.954,0.978,500,0.013861541,0.020484636
0.3,60,0.5,7,-1.694595721,0.90473612,0.282178265,0.293847497,0.964,-1.698205872,0.3978682,0.397532554,0.952,0.99,500,0.012619396,0.017793207
0.3,60,0.5,9,-1.694595721,0.892473618,0.264162205,0.271867539,0.948,-1.684636669,0.337686276,0.348453527,0.956,1,500,0.011813693,0.015101789
0.6,20,0.15,5,-0.441832752,1.582805882,0.738853369,1.213039745,0.993055556,-0.118905259,0.793863692,1.583460334,0.99537037,0.006944444,432,0.035548099,0.038194785
0.6,20,0.15,7,-0.441832752,1.636127045,0.743857036,1.146892397,0.960732984,-0.270908652,0.84667241,1.492604282,0.992146597,0.005235602,382,0.038059037,0.043319529
0.6,20,0.15,9,-0.441832752,1.621481407,0.772798321,1.110181002,0.966942149,-0.379063396,0.869347197,1.426563994,0.986225895,0.019283747,363,0.040561393,0.045628894
0.6,20,0.3,5,-0.441832752,1.418195803,0.715343208,0.948775947,0.963983051,-0.348130494,0.827875679,1.257196509,0.993644068,0.012711864,472,0.03292634,0.038106067
0.6,20,0.3,7,-0.441832752,1.331498807,0.667219553,0.846298729,0.970276008,-0.481948459,0.829375316,1.086126102,0.976645435,0.036093418,471,0.030743854,0.038215597
0.6,20,0.3,9,-0.441832752,1.235248355,0.621549039,0.760650314,0.963675214,-0.553386162,0.793771767,0.948745147,0.974358974,0.072649573,468,0.028731115,0.036692113
0.6,20,0.5,5,-0.441832752,1.059738987,0.515939578,0.622576769,0.964,-0.459680041,0.748106688,0.835722708,0.964,0.064,500,0.023073519,0.033456348
