"Trtsize","Nsites","Detprob","Nplots","logitTrt","aInt.m","aInt.se","aInt.sd","aInt.cover","aTrtYr.m","aTrtYr.se","aTrtYr.sd","aTrtYr.cover","bInt.m","n"
0.3,20,0.15,5,-3.79173683955364,2.94787426386013,0.772690163378157,1.54311316923579,0.996,-2.30353978852768,1.51298988223241,2.33050197382993,0.99,0.441169202042456,500
0.3,20,0.15,7,-3.79173683955364,3.01302975726092,0.805833452195995,1.44074700665721,0.994,-2.87125161594242,1.41617953533465,2.07008046338464,0.996,0.423818231069392,500
0.3,20,0.15,9,-3.79173683955364,3.11516386999785,0.801092057856243,1.35018809039143,0.992,-3.03036126560759,1.20784259602243,1.89891329731504,0.996,0.285988864343004,500
0.3,20,0.3,5,-3.79173683955364,3.16507336450267,0.731902107462989,1.3678322501712,0.998,-3.16563433928087,1.21845045613399,1.8986605228179,0.998,0.20115729350704,500
0.3,20,0.3,7,-3.79173683955364,3.268394503911,0.748450984203336,1.25461442498075,0.998,-3.4231336206936,1.05310586372215,1.72252180931683,1,0.132009030885116,500
0.3,20,0.3,9,-3.79173683955364,3.28790214589588,0.780539727630046,1.18688986075552,0.992,-3.51134768917463,1.02643936356964,1.62778940293615,0.998,0.120882349993114,500
0.3,20,0.5,5,-3.79173683955364,3.29717890707212,0.753182900217571,1.26079004609551,0.994,-3.44454335838442,1.06358022485027,1.71306425965196,0.994,0.052812073374174,500
0.3,20,0.5,7,-3.79173683955364,3.32684080144564,0.810175097561106,1.16945824195744,0.992,-3.59531708684198,1.00672009409772,1.61516107626048,0.994,0.021932337614419,500
0.3,20,0.5,9,-3.79173683955364,3.30226850399111,0.833421588220896,1.11421252773517,0.992,-3.66184699821405,1.03370339035636,1.57286687328614,0.994,0.0128422789265443,500
0.3,30,0.15,5,-3.79173683955364,2.97416177200335,0.776125101116399,1.46014219000595,0.992,-2.72433601912143,1.35575166949697,2.06363482583714,0.996,0.420323652451506,500
0.3,30,0.15,7,-3.79173683955364,3.19170739067336,0.71093966236228,1.35815550003715,0.994,-3.20676425969291,1.1294289555275,1.8254418946985,0.994,0.360954932827754,500
0.3,30,0.15,9,-3.79173683955364,3.32076992783225,0.707379169098984,1.28163106687904,0.996,-3.44921048059342,1.06757502584476,1.70166891980978,0.996,0.287190635346787,500
0.3,30,0.3,5,-3.79173683955364,3.254251897931,0.702859971517544,1.26873465550211,0.996,-3.43438650613887,0.95881881048148,1.67740274452354,1,0.163806826852977,500
0.3,30,0.3,7,-3.79173683955364,3.35996992513599,0.767328638748255,1.17505727286422,1,-3.64908227973911,0.862460069606497,1.57250109097562,0.998,0.0883833675885282,500
0.3,30,0.3,9,-3.79173683955364,3.34389876284494,0.792284036424617,1.10661077625479,0.99,-3.72433555141516,0.869016941646444,1.51220091149185,0.994,0.0383239421703627,500
0.3,30,0.5,5,-3.79173683955364,3.36093578811433,0.750053516050647,1.16973743616924,0.996,-3.65334380965886,0.940803244273048,1.56774952771524,0.998,0.0146672198043921,500
0.3,30,0.5,7,-3.79173683955364,3.37698311218407,0.692636496664165,1.07238384730743,0.998,-3.71283007359895,0.920558865938787,1.4895856269337,1,0.00482045573033169,500
0.3,30,0.5,9,-3.79173683955364,3.28632759851038,0.747544050076618,0.991058868239663,0.994,-3.57933710529882,0.917159082762012,1.43039220959914,0.992,0.00261219240321315,500
0.3,40,0.15,5,-3.79173683955364,3.068956961668,0.738209646432717,1.38193878268345,0.998,-3.02427658461922,1.23407088547444,1.88009688389711,0.994,0.374827940059697,500
0.3,40,0.15,7,-3.79173683955364,3.17636813916713,0.76818725606786,1.28101194028258,0.994,-3.3861894285805,1.0197213858048,1.67871009815632,0.994,0.313761064516913,500
0.3,40,0.15,9,-3.79173683955364,3.32833289916987,0.757169362092837,1.22613967232658,0.994,-3.60721625182107,0.931120337339866,1.58923220803083,0.998,0.231584174181436,500
0.3,40,0.3,5,-3.79173683955364,3.34294044067013,0.729540751512588,1.22723880677347,0.996,-3.62326859375068,0.85643177556158,1.58434518136178,1,0.106957306961912,500
0.3,40,0.3,7,-3.79173683955364,3.38332231536436,0.789870030862308,1.12078368115105,0.984,-3.7356302648959,0.860102568289354,1.49746723750998,0.998,0.0531756247357241,500
0.3,40,0.3,9,-3.79173683955364,3.46348394705658,0.770563613482208,1.04543137049392,0.984,-3.78314270032405,0.843601127978615,1.44627822854477,1,0.0375107475072916,500
0.3,40,0.5,5,-3.79173683955364,3.39500494470961,0.712114247259182,1.11280985958909,0.994,-3.70596389717329,0.846994657240533,1.48820016762545,0.996,0.0140847050930677,500
0.3,40,0.5,7,-3.79173683955364,3.32949522719223,0.746941223779533,0.990415747485996,0.988,-3.81045051968735,0.906772756707334,1.40398142757543,1,0.00469591704867568,500
0.3,40,0.5,9,-3.79173683955364,3.25429545557473,0.763536016089857,0.914731495471115,0.976,-3.7732955111857,0.931835784413522,1.35055002003749,0.986,0.00141567244976903,500
0.3,50,0.15,5,-3.79173683955364,3.1224921695567,0.705265118587517,1.3444578539146,0.998,-3.18820537012919,1.0240828235175,1.75847009871382,0.994,0.379074311344164,500
0.3,50,0.15,7,-3.79173683955364,3.22320192123278,0.779366053090514,1.23194371385186,0.994,-3.51201158321019,0.856932422280748,1.58538291467726,0.992,0.254224197757548,500
0.3,50,0.15,9,-3.79173683955364,3.39713675921279,0.74191852792923,1.1899006755984,0.992,-3.65139773350501,0.843224298465379,1.52699708893992,0.994,0.197246180848857,500
0.3,50,0.3,5,-3.79173683955364,3.38176982018101,0.770889879911729,1.17883052660728,0.994,-3.71142867820463,0.817485956401103,1.52616460626147,0.998,0.0829617626561493,500
0.3,50,0.3,7,-3.79173683955364,3.38182073203814,0.723254979882574,1.0711492412434,0.99,-3.7436831578403,0.813460153914914,1.44112621561401,0.998,0.027811005077643,500
0.3,50,0.3,9,-3.79173683955364,3.31954672176949,0.704354609282837,0.970842648173611,0.992,-3.75441409999609,0.807194471517048,1.36433981544474,0.998,0.0251686138535775,500
0.3,50,0.5,5,-3.79173683955364,3.45934514980193,0.732302671822691,1.0874891413805,0.99,-3.76305774163525,0.843912481314601,1.44712714909189,1,-0.00315911324752211,500
0.3,50,0.5,7,-3.79173683955364,3.29923353557408,0.751124826079705,0.921082371757053,0.982,-3.75828142700429,0.86055684085324,1.33786675075126,0.998,0.00375037448966099,500
0.3,50,0.5,9,-3.79173683955364,3.25997357386692,0.693866235784505,0.848296500812234,0.984,-3.71114938632243,0.898539181000788,1.27767814274059,0.992,7.04055539904825e-05,500
0.3,60,0.15,5,-3.79173683955364,3.18187627742473,0.772911509241329,1.29323869847616,0.986,-3.410714039269,0.928602687331689,1.66445188529827,0.998,0.340828462255398,500
0.3,60,0.15,7,-3.79173683955364,3.3372429996944,0.730189554643721,1.23249869093527,0.994,-3.64153586068775,0.835905796420529,1.55238569026176,0.998,0.204661456648371,500
0.3,60,0.15,9,-3.79173683955364,3.41189336087053,0.765414106802483,1.15140421429692,0.994,-3.79113841546708,0.807510938357419,1.49141262178276,0.998,0.134859554101002,500
0.3,60,0.3,5,-3.79173683955364,3.45412015113578,0.734057368316404,1.17748772112845,0.988,-3.81334137459212,0.777243559134566,1.49665422116381,1,0.0577623804441699,500
0.3,60,0.3,7,-3.79173683955364,3.44128205750705,0.72372541270147,1.05853441541563,0.986,-3.82664519643646,0.82382362051309,1.40622356458838,0.996,0.036904387636325,500
0.3,60,0.3,9,-3.79173683955364,3.34375733613995,0.687405977942058,0.934098978550815,0.984,-3.84874572738473,0.817211877559696,1.32736278721113,1,0.0168022536490808,500
0.3,60,0.5,5,-3.79173683955364,3.37457588846852,0.731694371866511,1.01792927791305,0.99,-3.81484533622977,0.793824926731766,1.39215062140693,0.994,0.00276223077667265,500
0.3,60,0.5,7,-3.79173683955364,3.35559675799343,0.695967235133032,0.888724899619918,0.978,-3.75962639961006,0.847455513241321,1.28846725814439,0.996,-0.00119169615388172,500
0.3,60,0.5,9,-3.79173683955364,3.20513478131192,0.675908168271856,0.794088819092423,0.972,-3.77985284886813,0.860587736570794,1.21561703367996,0.994,-0.00600661943041033,500
0.6,20,0.15,5,-2.53897387105828,3.09469589314302,0.88857510262928,1.69427072860369,0.992,-0.596864416562796,1.36396767913425,2.56473914225136,0.986,0.347372770763477,500
0.6,20,0.15,7,-2.53897387105828,3.23677021911864,0.8287072483843,1.55895023934837,0.998,-1.1141867629509,1.4342749600192,2.41522212340223,0.984,0.332350343659395,500
0.6,20,0.15,9,-2.53897387105828,3.33127009846808,0.828078386257283,1.47467425518438,0.996,-1.46515122745106,1.38677610535129,2.26897833158249,0.994,0.318826889415332,500
