"site_id","trt","dwd_count","stumps","logs","size_cl","decay_cl","char_cl","length_cl","dwd_dens","log_dens","stump_dens","avg_volume","avg_count"
"12213 _ 1 _ 2024","UU",15,4,11,1.3,2.1,1,1.7,0.03,0.02,0.01,0.6284412,2.14285714285714
"12239 _ 1 _ 2023","UU",26,6,20,1.4,2.8,1,2,0.05,0.04,0.01,1.8932391,3.71428571428571
"12239 _ 1 _ 2024","UU",24,8,16,1.6,2.7,1,1.8,0.04,0.03,0.01,1.7348008,3.42857142857143
"12349 _ 1 _ 2023","BU",34,4,30,1.1,2.6,2.7,2.2,0.06,0.05,0.01,1.6735818,4.85714285714286
"12349 _ 1 _ 2024","BU",40,16,24,1.5,2.3,2.2,1.4,0.07,0.04,0.03,1.8551876,5.71428571428571
"12351 _ 1 _ 2023","BU",27,5,22,1.2,2.5,2.6,2,0.05,0.04,0.01,1.2988522,3.85714285714286
"12362 _ 1 _ 2023","HB",51,45,6,1.5,2,2.9,0.4,0.09,0.01,0.08,0.9883394,7.28571428571429
"12362 _ 1 _ 2024","HB",33,19,14,1.5,1.9,2.5,1.1,0.06,0.02,0.03,1.6218297,4.71428571428571
"12364 _ 1 _ 2023","HB",25,20,5,1.3,2.4,3,0.4,0.04,0.01,0.04,0.4326352,3.57142857142857
"12364 _ 1 _ 2024","HB",45,31,14,1.5,1.8,2.6,0.5,0.08,0.02,0.05,1.1754676,6.42857142857143
"12392 _ 1 _ 2023","BU",18,12,6,1.4,2.8,3,1,0.03,0.01,0.02,0.6219722,2.57142857142857
"12421 _ 1 _ 2023","BU",25,8,17,1.6,2.6,2.8,1.7,0.04,0.03,0.01,1.6140984,3.57142857142857
"12421 _ 1 _ 2024","BU",31,11,20,1.5,2,2.2,1.3,0.05,0.04,0.02,1.3190482,4.42857142857143
"12441 _ 1 _ 2023","BU",34,5,29,1.6,2.5,3,2.4,0.06,0.05,0.01,3.6511811,4.85714285714286
"12441 _ 1 _ 2024","BU",25,10,15,1.4,2.1,2.4,1.4,0.04,0.03,0.02,1.1948746,3.57142857142857
"12560 _ 1 _ 2023","BU",17,14,3,1.5,2.2,2.5,0.5,0.03,0.01,0.02,0.4960894,2.42857142857143
"12560 _ 1 _ 2024","BU",23,15,8,1.4,2,2.3,0.8,0.04,0.01,0.03,0.774073,3.28571428571429
