"temp","canopy_cov","veg_cov","dwd_cov","fwd_cov","soil_moist","dwd_count","size_cl","decay_cl","char_cl","aspect","avg_volume"
46.3,1.6,3.4,1.4,2.4,23.48,42,1.6,2.7,3,188.84181,2.3555108
40.2,1.7,4,1.6,1.7,31.82,47,1.3,1.9,2.6,199.05771,1.1543249
49.6,2.3,3.9,1.3,1.9,30.26,28,1.3,2,2.3,106.38954,1.1936124
37.4,1.9,3,1.6,3.4,24.99,39,1.2,2.5,1,302.31961,2.6370971
61.2,3.6,3.7,1.7,2.7,21.49,21,1.4,2.4,1,280.49146,1.3958612
51,1.4,3.4,1.3,2.6,35.85,17,1.3,2.6,2.6,219.28941,0.7866955
54.4,1.1,4,1.4,1.4,38.6,22,1.5,1.8,2,225,1.4126122
49.5,1.3,3.6,0.7,2.4,29.57,13,1.3,2.5,2.6,261.02737,1.0641532
59.7,0,1,1.4,2.7,10.88,53,1.3,2,1,307.875,1.5839623
48.2,0,2.4,2.6,3.3,26.41,80,1.3,1.7,1,255.46555,1.1896678
57.6,0,2.1,1.1,2.9,6.2,35,1.6,2.1,1,320.90613,0.8780506
40.9,0,3,2,3.1,31.26,51,1.3,1.7,1,348.3407,0.9998574
56.8,0,1,1.1,3.1,24.83,45,1.4,1.8,1,353.65979,0.9056623
64.7,0,0.9,2,3.4,26.23,25,1.6,1.2,1,335.55603,0.491803
65.7,3.6,3.7,1.6,1.7,27.63,41,1.3,2.5,1,247.61986,2.2972896
53.5,3.6,4,0.9,1.7,33.21,16,1.1,2.1,1,321.009,1.1433066
64.5,0,3.9,2,2.3,28.73,36,1.4,1.5,1.3,51.34019,0.9952818
71.7,0,1,1.4,3.4,16.22,46,1.3,1.4,1,14.03625,2.1210484
81.4,0,1.7,1.6,2,18.9,62,1.5,1.5,1,195.42216,2.2717291
54.5,1.1,4,0.9,1,17.37,10,1.3,2.4,2.8,55.49148,0.6085609
75.4,3.3,3,1.6,2.1,23.3,41,1.3,2.7,1,74.74488,2.6156914
44.4,2.9,4,1.3,2.3,30.48,22,1.5,2.1,1,225,2.0384764
67.5,3.7,2.4,1.4,2.1,22.94,28,1.3,2.5,1,351.02737,1.5440437
43.1,3.7,3.1,1.7,2.3,33.5,26,1.5,2.2,1,210.96375,1.6469431
59.2,2.9,4,1,1.3,25.74,21,1.2,2.4,1,271.6366,0.6388548
46.3,2.4,3.7,1.6,1.6,41.4,24,1.2,2.1,1,355.60129,1.698669
67.8,1.7,3.7,1.1,1.6,19.52,32,1.3,2.1,1,232.59465,1.0962616
46.7,3,3.9,2.6,2.4,32.79,38,1.6,2.5,1,2.29061,2.3460439
66.9,1.7,3.6,1.4,1.9,20.44,38,1.6,2.2,1,214.04593,1.7761394
67.9,3,3.7,2.1,2.7,30.85,34,1.6,2,1,353.88449,1.7239139
59.4,1.7,3,1.7,2.3,22.99,47,1.6,2.3,1.1,290.22485,2.2382796
48.6,2.3,3.7,2.1,2.4,24.8,37,1.4,2,1,304.992,2.0016083
46.2,0,1.1,1,1,29.42,31,1.4,2.2,3,247.16635,0.4785494
73.9,0,3,1.4,1.1,6.4,31,1.3,1.6,2.5,3.57633,0.4425754
42.2,0,1.7,1,1,26.12,33,1.4,2.9,3,48.81408,1.1402824
69.9,0,2.3,1.1,1.3,12.93,39,1.2,1.5,2.6,150.52411,0.3543759
53.6,0,3.9,1.3,2,29.96,37,1.5,2.2,1.2,36.02737,0.8515434
67.8,0,3.9,1.6,2,21.58,55,1.3,1.1,1,10.00798,0.7623972
45.2,0,3.9,1.1,1.9,31.71,33,1.3,2.4,1.2,292.61987,0.9009288
45.2,0,2.7,1.4,2.3,32.49,67,1.2,2.1,1.4,16.26021,1.6792619
47.3,0,3.9,1.9,2,26.02,47,1.3,1.5,1,334.65381,0.8046825
46.9,0,2.3,1.4,2.1,23.11,52,1.4,2.6,3,60.9454,0.9378496
56.4,0,2,1.7,1,12.58,50,1.2,2,2.5,200.22485,1.0610764
47.9,0,3.9,1,2.1,31.19,36,1.2,1.9,1,191.853,1.0604453
49.7,0,4,1.1,1,35.17,22,1.5,1.5,1,156.37062,0.3527981
43.5,0,4,1.1,2,32.42,46,1.3,2.7,1.3,5.04245,1.4607354
58.4,0,4,1.6,1,23.93,40,1.3,1.5,1.2,300.0686,1.0598142
46.4,0,1.1,1.3,3.6,28.22,38,1.3,1.9,1.1,144.86581,1.1898256
40.8,0,3.9,1.1,2,27.12,43,1.2,2,1,291.80139,0.6778267
46,0,2.4,2.6,3.4,19.23,61,1.4,1.6,1,255.34325,2.0391601
49.1,0,1.3,1.1,2.1,27.97,44,1.3,2.6,2.6,18.43495,1.8650752
50.3,0,1.3,1.6,1.7,16.97,37,1.5,1.9,2.4,144.46233,1.2764473
42.4,0,1.4,1.1,1,22.45,35,1.4,2.6,3,175.60129,1.1409136
59.1,0,3.4,1.6,1.3,29.22,46,1.4,2,2.5,34.04594,1.0423005
37.9,0,2.1,1.3,1.4,31.64,47,1.4,2.4,3,24.44395,1.7213894
56.9,0,2.7,1.4,1.4,15.29,49,1.4,2,2.7,272.72632,0.7218475
40.8,2,3.7,1.6,2.6,22.75,35,1.3,2.3,2.6,135,1.4940272
63.6,2.3,3.1,1.9,3,23.85,30,1.4,2.1,2.2,156.80141,1.7404809
