OBJECTID,CLEARCUT_Y,DISTRICT,ELEVATION_,STAND_ESTA,OFCLWCO__1,SETTING_NU,SITE_INDX_,OUNAME,LEGAL_DESC,UNIT_NUMBE,AVGAGE,LOC_SHP_ID,UTMX,UTMY,Acres,Owner,Page,Srvy_2015,Srvy_2013,Srvy_2014,Srvy_2016,Srvy_2017,Srvy_2018,Srvy_2019,Cut_Yr,Burned,Lat,Long
"5486","2014",Snowpeak,"950","61","20666",K4214,"132",,12S-01E-08,,"61","0",522993.00000000000,4932290.00000000000,20.06790000000,WY,,"1","0","0","1","0","1","1","2014",No,44.54354357,-122.71055506
"12067","2014",Clackamas,"2900","52","10399",M2212,"93",,"06S-03E-35,36",,"52","0",547487.00000000000,4983790.00000000000,70.54870000000,WY,,"1","0","0","1","0","1","1","2014",No,45.00595696,-122.39742924
"1202","2019",Clackamas,"2750","61","10965",,"103",,06S-03E-24,,"61","0",548965.00000000000,4987030.00000000000,44.36110000000,WY,,"1","0","0","1","0","1","1","2019",Yes,45.03500382,-122.37835825
"1304","2017",Clackamas,"2600","57","10968",,"98",,06S-03E-26,,"57","0",546142.00000000000,4985400.00000000000,47.34510000000,WY,,"1","0","0","1","0","0","0","2016",No,45.02052640,-122.41434826
"1021","2016",Clackamas,"2750","57","10482",M6206,"115",,06S-03E-12,,"57","0",548530.00000000000,4990070.00000000000,134.95500000000,WY,,"1","0","0","1","0","1","1","2016",Yes,45.06246672,-122.38358431
"9081","0",Clackamas,"2200","51","10963",,"120",,06S-03E-11,,"51","0",546205.00000000000,4989860.00000000000,53.96270000000,WY,,"1","0","0","1","0","1","1","2023",No,45.06066163,-122.41314194
"1073","2017",Clackamas,"2750","58","10553",M7210,"109",,06S-04E-18,,"58","0",549645.00000000000,4988680.00000000000,83.06350000000,WY,,"1","0","0","1","0","0","1","2017",Yes,45.04979736,-122.36956870
"26294","2018",Clackamas,"2100","57","10185",,"118",,05S-04E-32,,"57","0",551078.00000000000,4993200.00000000000,95.01720000000,WY,,"1","0","0","1","0","1","1","2020",Yes,45.09042484,-122.35091109
"965","2014",Clackamas,"1700","62","10467",M3209,"124",,06S-03E-02,,"62","0",546365.00000000000,4991750.00000000000,80.22620000000,WY,,"1","0","0","1","0","1","1","2013",Yes,45.07767306,-122.41092606
"72093","2017",Snowpeak,"900","67","21213",,"131",,11S-01E-22,,"67","0",526392.00000000000,4938420.00000000000,52.66520000000,WY,,"1","0","0","1","0","0","1","2018",No,44.59865325,-122.66745934
"19881","2018",Clackamas,"1250","62","10506",,"128",,06S-03E-03,,"62","0",545570.00000000000,4992370.00000000000,31.77510000000,WY,,"1","0","0","1","0","1","1","2019",Yes,45.08332167,-122.42097134
"17537","2017",Clackamas,"1850","61","10078",M5206,"124",,05S-03E-35,,"61","0",547614.00000000000,4993690.00000000000,97.71430000000,WY,,"1","0","0","1","0","1","1","2017",Yes,45.09505305,-122.39488395
"10138","2016",Snowpeak,"2000","59","20560",K6214,"122",,11S-01E-11,,"59","0",527795.00000000000,4941200.00000000000,46.42910000000,WY,,"1","0","0","1","0","1","1","2016",No,44.62363083,-122.64962631
"10364","2017",Snowpeak,"1700","58","20600",K5213,"122",,11S-01E-10,,"58","0",526685.00000000000,4941520.00000000000,29.45890000000,WY,,"1","0","0","1","0","1","1","2017",No,44.62649401,-122.66360674
"6236","0",Snowpeak,"3100","54","21026",,"96",,11S-02E-06,,"54","0",531282.00000000000,4943940.00000000000,80.34830000000,WY,,"1","0","0","1","0","1","1","2017",No,44.64817996,-122.60550340
"6852","0",Snowpeak,"2000","60","20535",,"125",,11S-01E-14,,"60","0",528034.00000000000,4939980.00000000000,66.65570000000,WY,,"1","0","0","1","0","1","1","2020",No,44.61259744,-122.64667939
"2876","0",Snowpeak,"3100","59","21029",,"97",,11S-02E-06,,"59","0",530915.00000000000,4942980.00000000000,43.86430000000,WY,,"1","0","0","1","0","1","1","2022",No,44.63952526,-122.61018644
"3406","2014",Snowpeak,"2100","72","20031",K4202,"117",,12S-02E-07,,"72","0",531517.00000000000,4931670.00000000000,54.65210000000,WY,,"1","0","0","1","0","1","1","2014",No,44.53768602,-122.60329359
"4602","2014",Clackamas,"2900","61","10498",M4216,"104",,06S-03E-13,,"61","0",548819.00000000000,4988550.00000000000,116.11400000000,WY,,"0","0","0","1","0","1","1","2015",Yes,45.04867848,-122.38006404
"0","2018",Clackamas,"1840","55","408161",,"0",Jackson Cleanup,05S-04E-06,"1059","55","0",550749.00000000000,5000710.00000000000,96.95890000000,PBTF,,"1","0","0","1","0","1","1","2020",No,45.15806979,-122.35431982
"0","2018",Clackamas,"1820","68","33651",,"0",Old Man Hill,04S-04E-25,"1069","68","0",557761.00000000000,5004360.00000000000,72.84180000000,PBTF,,"1","0","0","0","0","1","1","2016",Yes,45.19038113,-122.26469442
"0","2013",Clackamas,"600","67","33554",,"0",Longfellow,04S-03E-01,"1002","67","33554",548622.00000000000,5011610.00000000000,24.32270000000,PBTF,,"1","0","0","1","0","1","1","2013",No,45.25631789,-122.38031842
"0","2016",Clackamas,"1980","65","34007",,"0",In the Clear,"05S-04E-03, 02","1012","65","34007",555408.00000000000,5002010.00000000000,113.22700000000,PBTF,,"0","0","0","0","0","1","1","2016",Yes,45.16937031,-122.29490809
"0","2014",Clackamas,"2300","59","33810",,"0",Crooked Lock,05S-04E-08,"1073","59","33810",552069.00000000000,4999410.00000000000,112.35600000000,PBTF,,"0","0","0","1","0","1","1","2014",No,45.14627626,-122.33766664
"0","2017",Clackamas,"1840","52","408162",,"0",Little Clear Alder,05S-04E-04,"1026","52","408162",553438.00000000000,5001510.00000000000,90.49400000000,PBTF,,"1","0","0","1","0","0","1","2017",No,45.16502247,-122.32003385
"0","2015",Clackamas,"1780","55","408178",,"0",Hemlock Hill,04S-04E-24,"3062","55","408178",558097.00000000000,5006370.00000000000,31.91560000000,PBTF,,"1","0","0","1","0","1","1","2014",Yes,45.20843854,-122.26018110
"0","2015",Clackamas,"1420","53","408143",,"0",Jackson Tribs,05S-04E-06,"3047","53","408143",549668.00000000000,5001240.00000000000,62.71360000000,PBTF,,"1","0","0","0","0","1","1","2015",No,45.16288022,-122.36802112
"0","2017",Clackamas,"1960","56","33689",,"0",Frank Overview,04S-04E-32,"1133","56","33689",552138.00000000000,5002660.00000000000,72.29610000000,PBTF,,"1","0","0","1","0","1","1","2017",No,45.17552514,-122.33644657
"0","2014",Clackamas,"1580","57","33628",,"0",Burn Pit,04S-04E-26,"1081","57","33628",556360.00000000000,5005250.00000000000,52.04730000000,PBTF,,"1","0","0","0","0","1","1","2015",Yes,45.19851885,-122.28242619
"0","2015",Clackamas,"640","73","34017",,"0",Ho No More,04S-02E-23,"1012","73","34017",537459.00000000000,5006790.00000000000,72.92770000000,PBTF,,"1","0","0","0","0","1","1","2015",No,45.21356292,-122.52295019
"0","2013",Clackamas,"1500","55","33754",,"0",Young Top,05S-03E-22,"1116","55","33754",545664.00000000000,4996940.00000000000,107.00500000000,PBTF,,"1","0","0","1","0","1","1","2013",No,45.12446033,-122.41935689
"0","2016",Clackamas,"1900","58","408180",,"0",Hemsho,04S-04E-25,"1066","58","408180",558655.00000000000,5004290.00000000000,95.04260000000,PBTF,,"1","0","0","1","0","0","1","2017",Yes,45.18962983,-122.25332203
"122","2015",North Cascade,"2600","58",12407T,,"0",GreenHeightsA2,09S-04E-21,,"58","0",553751.00000000000,4958030.00000000000,66.44870000000,ODF,,"1","0","0","0","0","1","1","2015",Yes,44.77361351,-122.32068572
"0","0",North Cascade,"2800","58",12407C,,"0",,09S-04E-22,,"58","0",555164.00000000000,4958120.00000000000,183.45400000000,ODF,,"1","0","0","1","0","1","1","0",Yes,44.77438411,-122.30281008
"0","2015",North Cascade,"1640","61","12364",,"0",,09S-03E-20,,"61","0",541620.00000000000,4958230.00000000000,74.02660000000,ODF,,"1","0","0","0","0","1","1","2015",Yes,44.77625824,-122.47397788
"0","2015",North Cascade,"1940","51","12362",,"0",,09S-03E-17,,"51","0",542731.00000000000,4958920.00000000000,39.86380000000,ODF,,"0","0","0","0","0","1","1","2015",Yes,44.78243931,-122.45986882
"0","0",North Cascade,"2200","56","12605",,"0",Tom Rock Road,10S-02E-12,,"56","0",538375.00000000000,4951360.00000000000,79.63450000000,ODF,,"1","0","0","1","0","1","1","0",No,44.71455078,-122.51550662
"0","0",North Cascade,"2800","64","12638",,"0",,10S-03E-22,,"64","0",546063.00000000000,4948580.00000000000,132.31600000000,ODF,,"1","0","0","1","0","1","1","0",No,44.68913231,-122.41868689
"0","0",Snowpeak,"2300","64","35466",,"0",,12S-01E-13,,"64","0",528722.00000000000,4929930.00000000000,42.56730000000,BLM,,"1","0","0","1","0","1","1","0",No,44.52211295,-122.63857429
"0","0",Snowpeak,"1280","55","29121",,"0",,10S-01E-33,,"55","0",524040.00000000000,4945400.00000000000,53.54310000000,BLM,,"1","0","0","1","0","1","1","0",No,44.66157779,-122.69676737
"0","0",Snowpeak,"1420","55","29122",,"0",,10S-01E-33,,"55","0",524885.00000000000,4944480.00000000000,47.30290000000,BLM,,"0","0","0","1","0","1","1","0",No,44.65324846,-122.68614708
"0","0",Snowpeak,"1260","55","29123",,"0",,10S-01E-33,,"55","0",523871.00000000000,4944340.00000000000,49.66970000000,BLM,,"0","0","0","1","0","1","1","0",No,44.65197816,-122.69894599
"0","0",Snowpeak,"1640","64","29431",,"0",,11S-01E-3,,"64","0",525961.00000000000,4943790.00000000000,48.85240000000,BLM,,"0","0","0","1","0","1","1","0",No,44.64697898,-122.67260828
"0","0",Snowpeak,"1560","64","29429",,"0",,11S-01E-3,,"64","0",525790.00000000000,4942920.00000000000,41.38230000000,BLM,,"0","0","0","1","0","1","1","0",No,44.63915276,-122.67481303
"0","0",Snowpeak,"1640","64","29889",,"0",,11S-01E-3,,"64","0",526554.00000000000,4942640.00000000000,39.77890000000,BLM,,"0","0","0","1","0","1","1","0",No,44.63657925,-122.66519597
"0","0",Snowpeak,"1040","74","25954",,"0",,09S-02E-13,,"74","0",538282.00000000000,4960060.00000000000,41.87900000000,BLM,,"0","0","0","1","0","1","1","0",Yes,44.79293513,-122.51602586
"0","2018",Snowpeak,"2450","67","20053",K8205,"120",,12S-02E-04,,"67","0",534331.00000000000,4932990.00000000000,104.31000000000,WY,,"1","0","0","1","0","0","1","2018",No,44.54946375,-122.56778919
"0","2017",Snowpeak,"2450","53","20194",K8131,"119",,11S-02E-13,,"53","0",538393.00000000000,4939770.00000000000,99.64460000000,WY,,"1","0","0","1","0","0","1","2017",No,44.61023973,-122.51614913
"0","2015",Snowpeak,"1150","85","20497",K3210,"130",,11S-01E-34,,"85","0",526233.00000000000,4935370.00000000000,71.08040000000,WY,,"0","0","0","1","0","1","1","2015",No,44.57121679,-122.66961783
"0","2018",Snowpeak,"1450","54","20626",K2203,"124",,10S-02E-16,,"54","0",534524.00000000000,4949650.00000000000,118.44900000000,WY,,"1","0","0","1","0","1","0","2018",No,44.69937919,-122.56423143
"0","2020",Clackamas,"2600","66","10153",,"100",,05S-04E-20,,"66","0",551576.00000000000,4996170.00000000000,88.36020000000,WY,,"1","0","0","1","0","1","1","2020",Yes,45.11712236,-122.34427483
"0","2019",Snowpeak,"2900","62","20039",K3201,"94",H-531,12S-02E-08,,"62","0",533006.00000000000,4930880.00000000000,92.79750000000,WY,,"1","0","0","1","0","1","1","2019",No,44.53045934,-122.58460386
"0","0",Clackamas,"2500","134","10439",,"0",,05S-04E-17,,"134","0",550980.00000000000,4998670.00000000000,57.69710000000,BLM,,"0","0","0","1","0","1","1","0",No,45.13964240,-122.35159504
"0","0",Clackamas,"1500","100","16804",,"0",,07S-03E-05,,"100","0",541176.00000000000,4982530.00000000000,27.74180000000,BLM,,"0","0","0","1","0","1","1","0",Yes,44.99499763,-122.47761118
"0","0",Clackamas,"1400","97","9757",,"0",,04S-04E-23,,"97","0",556967.00000000000,5006880.00000000000,71.35610000000,BLM,,"0","0","0","1","0","1","1","0",Yes,45.21309981,-122.27451453
"0","0",Clackamaas,"800","104","12239",,"0",,06S-02E-05,,"104","0",532889.00000000000,4991870.00000000000,47.74080000000,BLM,,"0","0","0","1","0","1","1","0",No,45.07951831,-122.58212887
"0","0",Clackamas,"800","84","12213",,"0",,06S-02E-05,,"84","0",532072.00000000000,4991920.00000000000,39.44330000000,BLM,,"0","0","0","1","0","1","1","0",No,45.07998313,-122.59250872
"0","0",Clackamas,"900","84","13924",,"0",,06S-02E-19,,"84","0",530550.00000000000,4986750.00000000000,191.03900000000,BLM,,"0","0","0","1","0","1","1","0",No,45.03358333,-122.61216083
"0","0",Clackamas,"1000","74","15562",,"0",,06S-02E-29,,"74","0",534103.00000000000,4983470.00000000000,319.62300000000,BLM,,"0","0","0","1","0","1","1","0",Yes,45.00386691,-122.56727950
"0","0",Clackamas,"2000","150","10302",,"0",,05S-04E-09,,"150","0",553311.00000000000,4999640.00000000000,108.43500000000,BLM,,"0","0","0","1","0","1","1","0",No,45.14823939,-122.32184642
