OBJECTID,Join_Count,TARGET_FID,DISTRICT,OFCLWCO__1,SETTING_NU,UNIT_NUMBE,Owner,UTMX,UTMY,Lat,Long
"63","1","62",North Cascade,"12364",,,ODF,"541573","4957980","44.7740046860612","-122.47458321304"
"64","1","63",North Cascade,"12362",,,ODF,"542854","4958884","44.7820716949044","-122.458322491918"
"65","1","64",North Cascade,"12605",,,ODF,"538226","4951290","44.7139707775113","-122.517384434095"
"66","1","65",North Cascade,"12638",,,ODF,"546292","4948572","44.6890267744121","-122.415806343493"
"67","1","66",Snowpeak,"35466",,,BLM,"528545","4930167","44.5242672684789","-122.640778776664"
"68","1","67",Snowpeak,"29121",,,BLM,"523906","4945208","44.6598393421281","-122.698456026176"
"69","1","68",Snowpeak,"29122",,,BLM,"525138","4944349","44.6520654660947","-122.682961567529"
"70","1","69",Snowpeak,"29123",,,BLM,"523843","4944464","44.653143810338","-122.699286641708"
"71","1","70",Snowpeak,"29431",,,BLM,"525825","4943648","44.6457290347282","-122.674332815149"
"72","1","71",Snowpeak,"29429",,,BLM,"525743","4942724","44.6374088472346","-122.675418685664"
"73","1","72",Snowpeak,"29889",,,BLM,"526793","4942649","44.6367018095379","-122.662187560352"
"74","1","73",Snowpeak,"25954",,,BLM,"538413","4960137","44.7935998280315","-122.514364976866"
"75","1","74",Snowpeak,"20053",K8205,,WY,"534006","4932597","44.5459017974218","-122.571900734715"
"76","1","75",Snowpeak,"20194",K8131,,WY,"538204","4939694","44.609583115869","-122.518532848441"
"77","1","76",Snowpeak,"20497",K3210,,WY,"525711","4935500","44.5723842005734","-122.67618266453"
"78","1","77",Snowpeak,"20626",K2203,,WY,"534207","4949643","44.6993410992526","-122.568243528296"
"79","1","78",Clackamas,"10153",,,WY,"551820","4995961","45.1152153024384","-122.341190389666"
"80","1","79",Snowpeak,"20039",K3201,,WY,"532949","4930842","44.5301492527713","-122.585324778633"
"81","1","80",Clackamas,"10439",,,BLM,"551092","4998251","45.135881160922","-122.350217009171"
"82","1","81",Clackamas,"16804",,,BLM,"541222","4982546","44.9951647279279","-122.477027597096"
"83","1","82",Clackamas,"9757",,,BLM,"556629","5007097","45.2150831137873","-122.278788943377"
"84","1","83",Clackamaas,"12239",,,BLM,"533021","4991718","45.0781569233833","-122.58045633481"
"85","1","84",Clackamas,"12213",,,BLM,"531978","4991965","45.0804297584088","-122.593694552593"
"86","1","85",Clackamas,"13924",,,BLM,"530340","4987318","45.0386661624028","-122.614788723071"
"87","1","86",Clackamas,"15562",,,BLM,"534597","4982895","44.9986607719052","-122.561045832475"
"88","1","87",Clackamas,"10302",,,BLM,"552931","4999466","45.1466832228628","-122.326694003958"
