OBJECTID_1,Join_Count,TARGET_FID,OID_,CID,OBJECTID,DISTRICT,STAND_ESTA,OFCLWCO__1,SETTING_NU,OUNAME,LEGAL_DESC,UNIT_NUMBE,Lat,Long,UTMX,UTMY
"45","1","44","0","44",2876.00000000000,Snowpeak,"59","21029",,,11S-02E-06,,44.63890627170,-122.61318697000,"530678","4942911"
"46","1","45","0","45",3406.00000000000,Snowpeak,"72","20031",K4202,,12S-02E-07,,44.53506032640,-122.60580347900,"531319","4931379"
"47","1","46","0","46",4602.00000000000,Clackamas,"61","10498",M4216,,06S-03E-13,,45.05518284530,-122.38274398100,"548602","4989266"
"48","1","47","0","47",0.00000000000,Clackamas,"55","408161",,Jackson Cleanup,05S-04E-06,"1059",45.15705603410,-122.35321188900,"550837","5000601"
"49","1","48","0","48",0.00000000000,Clackamas,"68","33651",,Old Man Hill,04S-04E-25,"1069",45.18957970140,-122.26538385600,"557708","5004273"
"50","1","49","0","49",0.00000000000,Clackamas,"67","33554",,Longfellow,04S-03E-01,"1002",45.25803255990,-122.37839388500,"548772","5011803"
"51","1","50","0","50",0.00000000000,Clackamas,"65","34007",,In the Clear,"05S-04E-03, 02","1012",45.17103450510,-122.30043282000,"554972","5002188"
"52","1","51","0","51",0.00000000000,Clackamas,"59","33810",,Crooked Lock,05S-04E-08,"1073",45.14530424280,-122.33758393400,"552076","4999305"
"53","1","52","0","52",0.00000000000,Clackamas,"52","408162",,Little Clear Alder,05S-04E-04,"1026",45.16296585070,-122.31485705500,"553846","5001282"
"54","1","53","0","53",0.00000000000,Clackamas,"55","408178",,Hemlock Hill,04S-04E-24,"3062",45.20889686490,-122.25845657000,"558232","5006424"
"55","1","54","0","54",0.00000000000,Clackamas,"53","408143",,Jackson Tribs,05S-04E-06,"3047",45.16213300900,-122.36427673900,"549963","5001158"
"56","1","55","0","55",0.00000000000,Clackamas,"56","33689",,Frank Overview,04S-04E-32,"1133",45.17520413390,-122.33774323800,"552037","5002627"
"57","1","56","0","56",0.00000000000,Clackamas,"57","33628",,Burn Pit,04S-04E-26,"1081",45.19697428050,-122.28233811000,"556369","5005083"
"58","1","57","0","57",0.00000000000,Clackamas,"73","34017",,Ho No More,04S-02E-23,"1012",45.21506322740,-122.52136676400,"537582","5006953"
"59","1","58","0","58",0.00000000000,Clackamas,"55","33754",,Young Top,05S-03E-22,"1116",45.12185255470,-122.41509046400,"546002","4996653"
"60","1","59","0","59",0.00000000000,Clackamas,"58","408180",,Hemsho,04S-04E-25,"1066",45.18852646310,-122.25641742400,"558413","5004163"
"61","1","60","0","60",122.00000000000,North Cascade,"58",12407T,,GreenHeightsA2,09S-04E-21,,44.77268793930,-122.32086192100,"553738","4957924"
"62","1","61","0","61",0.00000000000,North Cascade,"58",12407C,,,09S-04E-22,,44.77029281350,-122.29851270700,"555508","4957673"
"63","1","62","0","62",0.00000000000,North Cascade,"61","12364",,,09S-03E-20,,44.77381002790,-122.47359638400,"541652","4957959"
"64","1","63","0","63",0.00000000000,North Cascade,"51","12362",,,09S-03E-17,,44.78140990590,-122.45817678500,"542866","4958811"
"65","1","64","0","64",0.00000000000,North Cascade,"56","12605",,Tom Rock Road,10S-02E-12,,44.71493809970,-122.51555726600,"538370","4951399"
"66","1","65","0","65",0.00000000000,North Cascade,"64","12638",,,10S-03E-22,,44.68703752000,-122.41909362600,"546033","4948349"
"67","1","66","0","66",0.00000000000,Snowpeak,"64","35466",,,12S-01E-13,,44.52149110560,-122.64044446900,"528573","4929859"
"68","1","67","0","67",0.00000000000,Snowpeak,"55","29121",,,10S-01E-33,,44.66115201810,-122.69964968700,"523811","4945354"
"69","1","68","0","68",0.00000000000,Snowpeak,"55","29122",,,10S-01E-33,,44.65251183850,-122.68761014200,"524769","4944398"
"70","1","69","0","69",0.00000000000,Snowpeak,"55","29123",,,10S-01E-33,,44.65045324870,-122.69676112800,"524045","4944166"
