X,Y,CID,OFCLWCO__1_count,OFCLWCO__1_unique,OFCLWCO__1_empty,OFCLWCO__1_filled,OFCLWCO__1_min,OFCLWCO__1_max,OFCLWCO__1_min_length,OFCLWCO__1_max_length,OFCLWCO__1_mean_length
-122.684621169602,44.6520125852753,"68","1","1","0","1","29122","29122","5","5",5.000000
-122.700878664892,44.6516994218153,"69","1","1","0","1","29123","29123","5","5",5.000000
-122.67278169559,44.6472689167548,"70","1","1","0","1","29431","29431","5","5",5.000000
-122.676974308912,44.639353275819,"71","1","1","0","1","29429","29429","5","5",5.000000
-122.66575738773,44.6359323846835,"72","1","1","0","1","29889","29889","5","5",5.000000
-122.5134277046,44.7942216180266,"73","1","1","0","1","25954","25954","5","5",5.000000
-122.56692013329,44.550214449253,"74","1","1","0","1","20053","20053","5","5",5.000000
-122.514620085655,44.6140518372282,"75","1","1","0","1","20194","20194","5","5",5.000000
-122.665060805021,44.5705856940107,"76","1","1","0","1","20497","20497","5","5",5.000000
-122.344065217351,45.1153930915928,"78","1","1","0","1","10153","10153","5","5",5.000000
-122.585235170839,44.5281168521871,"79","1","1","0","1","20039","20039","5","5",5.000000
-122.35101526506,45.1419340211459,"80","1","1","0","1","10439","10439","5","5",5.000000
-122.476867052149,44.9949065170208,"81","1","1","0","1","16804","16804","5","5",5.000000
-122.27147875691,45.2101736490242,"82","1","1","0","1","9757","9757","4","4",4.000000
-122.584574091081,45.0812275054526,"83","1","1","0","1","12239","12239","5","5",5.000000
-122.591578728033,45.0789231381492,"84","1","1","0","1","12213","12213","5","5",5.000000
-122.608020789005,45.0306045345395,"85","1","1","0","1","13924","13924","5","5",5.000000
-122.563620386548,45.0053711411733,"86","1","1","0","1","15562","15562","5","5",5.000000
-122.320409517596,45.1469862799396,"87","1","1","0","1","10302","10302","5","5",5.000000
