OBJECTID_1,Join_Count,TARGET_FID,CID,OBJECTID,CLEARCUT_Y,DISTRICT,ELEVATION_,STAND_ESTA,OFCLWCO__1,SETTING_NU,SITE_INDX_,OUNAME,LEGAL_DESC,UNIT_NUMBE,AVGAGE,LOC_SHP_ID,UTMX,UTMY,Acres,Owner,Page,Srvy_2015,Srvy_2013,Srvy_2014,Srvy_2016,Srvy_2017,Srvy_2018,Srvy_2019,Cut_Yr,Long,Lat
"25","1","25","24",2850.00000000000,"2016",Snowpeak,"2950","55","21159",K5217,"110",,11S-02E-06,,"55",0.00000000000,530194.00000000000,4943980.00000000000,25.90000000000,WY,,"1","0","0","1","0","0","0","0","-122.618806477636","44.6487627609419"
"26","1","26","25",2912.00000000000,"0",Snowpeak,"1650","52","20550",,"119",,11S-01E-11,,"52",0.00000000000,527457.00000000000,4942190.00000000000,61.27200000000,WY,,"1","0","0","1","0","0","0","0","-122.649927795452","44.631137765786"
"27","1","27","26",16294.00000000000,"0",Snowpeak,"1050","35","20616",,"131",,11S-01E-09,,"35",0.00000000000,524582.00000000000,4941810.00000000000,82.18260000000,WY,,"1","0","0","1","0","0","0","0","-122.690823656569","44.6314003581108"
"28","1","28","27",2927.00000000000,"2017",Snowpeak,"2700","55","20540",,"107",,11S-02E-07,,"55",0.00000000000,530265.00000000000,4941610.00000000000,40.32060000000,WY,,"1","0","0","1","0","0","0","0","-122.622243323412","44.6256102699202"
"29","1","29","28",5486.00000000000,"2014",Snowpeak,"950","61","20666",K4214,"132",,12S-01E-08,,"61",0.00000000000,522993.00000000000,4932290.00000000000,20.06790000000,WY,,"1","0","0","1","0","0","0","0","-122.708241391482","44.5422605275004"
"30","1","30","29",12067.00000000000,"2014",Clackamas,"2900","52","10399",M2212,"93",,"06S-03E-35,36",,"52",0.00000000000,547487.00000000000,4983790.00000000000,70.54870000000,WY,,"1","0","0","1","0","0","0","0","-122.395911559345","45.0048965957406"
"31","1","31","30",1202.00000000000,"2019",Clackamas,"2750","61","10965",,"103",,06S-03E-24,,"61",0.00000000000,548965.00000000000,4987030.00000000000,44.36110000000,WY,,"1","0","0","1","0","0","0","0","-122.374714002018","45.0352738326642"
"32","1","32","31",1304.00000000000,"2017",Clackamas,"2600","57","10968",,"98",,06S-03E-26,,"57",0.00000000000,546142.00000000000,4985400.00000000000,47.34510000000,WY,,"1","0","0","1","0","0","0","0","-122.41469740723","45.0189656454514"
"33","1","33","32",1021.00000000000,"2016",Clackamas,"2750","57","10482",M6206,"115",,06S-03E-12,,"57",0.00000000000,548530.00000000000,4990070.00000000000,134.95500000000,WY,,"1","0","0","1","0","0","0","0","-122.389684353285","45.0633572832521"
"34","1","34","33",9081.00000000000,"0",Clackamas,"2200","51","10963",,"120",,06S-03E-11,,"51",0.00000000000,546205.00000000000,4989860.00000000000,53.96270000000,WY,,"1","0","0","1","0","0","0","0","-122.41500854085","45.059803343461"
"35","1","35","34",1073.00000000000,"2017",Clackamas,"2750","58","10553",M7210,"109",,06S-04E-18,,"58",0.00000000000,549645.00000000000,4988680.00000000000,83.06350000000,WY,,"1","0","0","1","0","0","0","0","-122.370908424802","45.0495546718232"
"36","1","36","35",26294.00000000000,"2018",Clackamas,"2100","57","10185",,"118",,05S-04E-32,,"57",0.00000000000,551078.00000000000,4993200.00000000000,95.01720000000,WY,,"1","0","0","1","0","0","0","0","-122.356856577853","45.093614360822"
"37","1","37","36",965.00000000000,"2014",Clackamas,"1700","62","10467",M3209,"124",,06S-03E-02,,"62",0.00000000000,546365.00000000000,4991750.00000000000,80.22620000000,WY,,"1","0","0","1","0","0","0","0","-122.411135350537","45.077639219331"
"38","1","38","37",72093.00000000000,"2017",Snowpeak,"0","67","21213",,"131",,11S-01E-22,,"67",0.00000000000,526392.00000000000,4938420.00000000000,52.66520000000,WY,,"1","0","0","1","0","0","0","0","-122.668504640383","44.5990187652952"
"39","1","39","38",19881.00000000000,"2018",Clackamas,"1250","62","10506",,"128",,06S-03E-03,,"62",0.00000000000,545570.00000000000,4992370.00000000000,31.77510000000,WY,,"1","0","0","1","0","0","0","0","-122.418340271226","45.0835288284138"
"40","1","40","39",17537.00000000000,"2015",Clackamas,"1850","61","10078",M5206,"124",,05S-03E-35,,"61",0.00000000000,547614.00000000000,4993690.00000000000,97.71430000000,WY,,"1","0","0","1","0","0","0","0","-122.396412298486","45.0958209442486"
"41","1","41","40",10138.00000000000,"2016",Snowpeak,"2000","59","20560",K6214,"122",,11S-01E-11,,"59",0.00000000000,527795.00000000000,4941200.00000000000,46.42910000000,WY,,"1","0","0","1","0","0","0","0","-122.645994882847","44.6230882622712"
"42","1","42","41",10364.00000000000,"2015",Snowpeak,"1700","58","20600",K5213,"122",,11S-01E-10,,"58",0.00000000000,526685.00000000000,4941520.00000000000,29.45890000000,WY,,"1","0","0","1","0","0","0","0","-122.664070146818","44.6255971123002"
"43","1","43","42",6236.00000000000,"0",Snowpeak,"3100","54","21026",,"96",,11S-02E-06,,"54",0.00000000000,531282.00000000000,4943940.00000000000,80.34830000000,WY,,"1","0","0","1","0","0","0","0","-122.608683765505","44.6496996258954"
"44","1","44","43",6852.00000000000,"0",Snowpeak,"2000","60","20535",,"125",,11S-01E-14,,"60",0.00000000000,528034.00000000000,4939980.00000000000,66.65570000000,WY,,"1","0","0","1","0","0","0","0","-122.65003481617","44.6128632329529"
"45","1","45","44",2876.00000000000,"0",Snowpeak,"3100","59","21029",,"97",,11S-02E-06,,"59",0.00000000000,530915.00000000000,4942980.00000000000,43.86430000000,WY,,"1","0","0","1","0","0","0","0","-122.607390173203","44.6392578054338"
"46","1","46","45",3406.00000000000,"2014",Snowpeak,"2100","72","20031",K4202,"117",,12S-02E-07,,"72",0.00000000000,531517.00000000000,4931670.00000000000,54.65210000000,WY,,"1","0","0","1","0","0","0","0","-122.602752789238","44.5376368661866"
"47","1","47","46",4602.00000000000,"2014",Clackamas,"2900","61","10498",M4216,"104",,06S-03E-13,,"61",0.00000000000,548819.00000000000,4988550.00000000000,116.11400000000,WY,,"0","0","0","1","0","0","0","0","-122.377917576137","45.043677709845"
"48","1","48","47",0.00000000000,"2018",Clackamas,"0","55","408161",,"0",Jackson Cleanup,05S-04E-06,"1059","55",0.00000000000,550749.00000000000,5000710.00000000000,96.95890000000,PBTF,,"1","0","0","1","0","0","0","0","-122.350504861958","45.157524362234"
"49","1","49","48",0.00000000000,"2018",Clackamas,"0","68","33651",,"0",Old Man Hill,04S-04E-25,"1069","68",0.00000000000,557761.00000000000,5004360.00000000000,72.84180000000,PBTF,,"1","0","0","0","0","0","0","0",,
"50","1","50","49",0.00000000000,"2013",Clackamas,"0","67","33554",,"0",Longfellow,04S-03E-01,"1002","67",33554.00000000000,548622.00000000000,5011610.00000000000,24.32270000000,PBTF,,"1","0","0","1","0","0","0","0","-122.380558206347","45.2554874094117"
"51","1","51","50",0.00000000000,"2016",Clackamas,"0","65","34007",,"0",In the Clear,"05S-04E-03, 02","1012","65",34007.00000000000,555408.00000000000,5002010.00000000000,113.22700000000,PBTF,,"0","0","0","0","0","0","0","0",,
"52","1","52","51",0.00000000000,"2014",Clackamas,"0","59","33810",,"0",Crooked Lock,05S-04E-08,"1073","59",33810.00000000000,552069.00000000000,4999410.00000000000,112.35600000000,PBTF,,"0","0","0","1","0","0","0","0","-122.334121338605","45.1473377474518"
"53","1","53","52",0.00000000000,"2017",Clackamas,"0","52","408162",,"0",Little Clear Alder,05S-04E-04,"1026","52",408162.00000000000,553438.00000000000,5001510.00000000000,90.49400000000,PBTF,,"1","0","0","1","0","0","0","0","-122.318202701651","45.165076939544"
"54","1","54","53",0.00000000000,"2015",Clackamas,"0","55","408178",,"0",Hemlock Hill,04S-04E-24,"3062","55",408178.00000000000,558097.00000000000,5006370.00000000000,31.91560000000,PBTF,,"1","0","0","1","0","0","0","0","-122.259423016818","45.2087383906845"
"55","1","55","54",0.00000000000,"2015",Clackamas,"0","53","408143",,"0",Jackson Tribs,05S-04E-06,"3047","53",408143.00000000000,549668.00000000000,5001240.00000000000,62.71360000000,PBTF,,"1","0","0","0","0","0","0","0",,
"56","1","56","55",0.00000000000,"2017",Clackamas,"0","56","33689",,"0",Frank Overview,04S-04E-32,"1133","56",33689.00000000000,552138.00000000000,5002660.00000000000,72.29610000000,PBTF,,"1","0","0","1","0","0","0","0","-122.339912363688","45.1751779490863"
"57","1","57","56",0.00000000000,"2014",Clackamas,"0","57","33628",,"0",Burn Pit,04S-04E-26,"1081","57",33628.00000000000,556360.00000000000,5005250.00000000000,52.04730000000,PBTF,,"1","0","0","0","0","0","0","0",,
"58","1","58","57",0.00000000000,"2015",Clackamas,"0","73","34017",,"0",Ho No More,04S-02E-23,"1012","73",34017.00000000000,537459.00000000000,5006790.00000000000,72.92770000000,PBTF,,"1","0","0","0","0","0","0","0",,
"59","1","59","58",0.00000000000,"2013",Clackamas,"0","55","33754",,"0",Young Top,05S-03E-22,"1116","55",33754.00000000000,545664.00000000000,4996940.00000000000,107.00500000000,PBTF,,"1","0","0","1","0","0","0","0","-122.417127478737","45.1254373208421"
"60","1","60","59",0.00000000000,"2016",Clackamas,"0","58","408180",,"0",Hemsho,04S-04E-25,"1066","58",408180.00000000000,558655.00000000000,5004290.00000000000,95.04260000000,PBTF,,"1","0","0","1","0","0","0","0","-122.254295812716","45.1903600377231"
"61","1","61","60",122.00000000000,"2015",North Cascade,"2600","58",12407T,,"0",GreenHeightsA2,09S-04E-21,,"58",0.00000000000,553751.00000000000,4958030.00000000000,66.44870000000,ODF,,"1","0","0","0","0","0","0","0",,
"62","1","62","61",0.00000000000,"0",North Cascade,"2800","58",12407C,,"0",,09S-04E-22,,"58",0.00000000000,555164.00000000000,4958120.00000000000,183.45400000000,ODF,,"1","0","0","1","0","0","0","0","-122.304554816997","44.7709094641404"
"63","1","63","62",0.00000000000,"2015",North Cascade,"1640","61","12364",,"0",,09S-03E-20,,"61",0.00000000000,541620.00000000000,4958230.00000000000,74.02660000000,ODF,,"1","0","0","0","0","0","0","0",,
"64","1","64","63",0.00000000000,"2015",North Cascade,"1940","51","12362",,"0",,09S-03E-17,,"51",0.00000000000,542731.00000000000,4958920.00000000000,39.86380000000,ODF,,"0","0","0","0","0","0","0","0",,
"65","1","65","64",0.00000000000,"0",North Cascade,"2200","56","12605",,"0",Tom Rock Road,10S-02E-12,,"56",0.00000000000,538375.00000000000,4951360.00000000000,79.63450000000,ODF,,"1","0","0","1","0","0","0","0","-122.514396021854","44.7117061396427"
"66","1","66","65",0.00000000000,"0",North Cascade,"2800","64","12638",,"0",,10S-03E-22,,"64",0.00000000000,546063.00000000000,4948580.00000000000,132.31600000000,ODF,,"1","0","0","1","0","0","0","0","-122.416529820328","44.6887798300236"
"67","1","67","66",0.00000000000,"0",Snowpeak,"0","64","35466",,"0",,12S-01E-13,,"64",0.00000000000,528722.00000000000,4929930.00000000000,42.56730000000,BLM,,"1","0","0","1","0","0","0","0","-122.638589078448","44.5239856845993"
