OBJECTID_1,Join_Count,TARGET_FID,OID_,CID,Long,Lat,OBJECTID,CLEARCUT_Y,DISTRICT,ELEVATION_,STAND_ESTA,FRSTBL_ACR,GROSS_AREA,OFCLWCO__1,SETTING_NU,SITE_INDX_,OUNAME,LEGAL_DESC,UNIT_NUMBE,AVGAGE,LOC_SHP_ID,UTMX,UTMY,Acres,Owner,Page
"53","1","52","0","52",-122.32393906800,45.16385295230,0.00000000000,"2017",Clackamas,"0","52",0.00000000000,0.00000000000,"408162",,"0",Little Clear Alder,05S-04E-04,"1026","51.8",408162.00000000000,553438.00000000000,5001510.00000000000,90.49400000000,PBTF,
"54","1","53","0","53",-122.26032344000,45.20961593990,0.00000000000,"2015",Clackamas,"0","55",0.00000000000,0.00000000000,"408178",,"0",Hemlock Hill,04S-04E-24,"3062","54.7",408178.00000000000,558097.00000000000,5006370.00000000000,31.91560000000,PBTF,
"55","1","54","0","54",-122.36877019700,45.16273300330,0.00000000000,"2015",Clackamas,"0","53",0.00000000000,0.00000000000,"408143",,"0",Jackson Tribs,05S-04E-06,"3047","53.2",408143.00000000000,549668.00000000000,5001240.00000000000,62.71360000000,PBTF,
"56","1","55","0","55",-122.33938236100,45.17487309280,0.00000000000,"2017",Clackamas,"0","56",0.00000000000,0.00000000000,"33689",,"0",Frank Overview,04S-04E-32,"1133","55.6",33689.00000000000,552138.00000000000,5002660.00000000000,72.29610000000,PBTF,
"57","1","56","0","56",-122.28489590900,45.19903659140,0.00000000000,"2014",Clackamas,"0","57",0.00000000000,0.00000000000,"33628",,"0",Burn Pit,04S-04E-26,"1081","56.8",33628.00000000000,556360.00000000000,5005250.00000000000,52.04730000000,PBTF,
"58","1","57","0","57",-122.52707704700,45.21339165590,0.00000000000,"2015",Clackamas,"0","73",0.00000000000,0.00000000000,"34017",,"0",Ho No More,04S-02E-23,"1012","73",34017.00000000000,537459.00000000000,5006790.00000000000,72.92770000000,PBTF,
"59","1","58","0","58",-122.41783896900,45.12550613280,0.00000000000,"2013",Clackamas,"0","55",0.00000000000,0.00000000000,"33754",,"0",Young Top,05S-03E-22,"1116","54.7",33754.00000000000,545664.00000000000,4996940.00000000000,107.00500000000,PBTF,
"60","1","59","0","59",-122.25114983800,45.18864392300,0.00000000000,"2016",Clackamas,"0","58",0.00000000000,0.00000000000,"408180",,"0",Hemsho,04S-04E-25,"1066","58.2",408180.00000000000,558655.00000000000,5004290.00000000000,95.04260000000,PBTF,
"61","1","60","0","60",-122.32182785100,44.77123366680,122.00000000000,"2015",North Cascade,"2600","58",66.00000000000,0.00000000000,12407T,,"0",GreenHeightsA2,09S-04E-21,,,0.00000000000,553751.00000000000,4958030.00000000000,66.44870000000,ODF,
"62","1","61","0","61",-122.30553254400,44.77262629860,0.00000000000,"0",North Cascade,"2800","0",0.00000000000,0.00000000000,12407C,,"0",,09S-04E-22,,,0.00000000000,555164.00000000000,4958120.00000000000,183.45400000000,ODF,
"63","1","62","0","62",-122.47271045600,44.77431601470,0.00000000000,"2015",North Cascade,"1640","0",0.00000000000,0.00000000000,"12364",,"0",,09S-03E-20,,,0.00000000000,541620.00000000000,4958230.00000000000,74.02660000000,ODF,
"64","1","63","0","63",-122.46235663500,44.78087408230,0.00000000000,"2015",North Cascade,"1940","0",40.00000000000,0.00000000000,"12362",,"0",,09S-03E-17,,"51",0.00000000000,542731.00000000000,4958920.00000000000,39.86380000000,ODF,
"65","1","64","0","64",-122.51348373400,44.71400722960,0.00000000000,"0",North Cascade,"2200","0",0.00000000000,0.00000000000,"12605",,"0",Tom Rock Road,10S-02E-12,,,0.00000000000,538375.00000000000,4951360.00000000000,79.63450000000,ODF,
"66","1","65","0","65",-122.41615805700,44.69117666370,0.00000000000,"0",North Cascade,"2800","64",0.00000000000,0.00000000000,"12638",,"0",,10S-03E-22,,,0.00000000000,546063.00000000000,4948580.00000000000,132.31600000000,ODF,
"0","0","0","0","0",0.00000000000,0.00000000000,0.00000000000,"0",,"0","0",0.00000000000,0.00000000000,,,"0",,,,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,
"0","0","0","0","0",0.00000000000,0.00000000000,0.00000000000,"0",,"0","0",0.00000000000,0.00000000000,,,"0",,,,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,
"0","0","0","0","0",0.00000000000,0.00000000000,0.00000000000,"0",,"0","0",0.00000000000,0.00000000000,,,"0",,,,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,
"0","0","0","0","0",0.00000000000,0.00000000000,0.00000000000,"0",,"0","0",0.00000000000,0.00000000000,,,"0",,,,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,
"0","0","0","0","0",0.00000000000,0.00000000000,0.00000000000,"0",,"0","0",0.00000000000,0.00000000000,,,"0",,,,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,
